index,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Trend,14 day SMA,upper band,lower band
133,NCC,EQ,104.3,104.7,106.4,102.5,106.2,105.25,104.38,2241884,234008957.95,9452,585809,26.13,Slight positive,104.59642857142856,112.89058446446634,96.30227267839078
134,NCC,EQ,105.25,107.0,109.55,105.85,107.9,107.8,108.06,5476883,591849960.7,20980,1586719,28.97,Positive,104.26071428571427,111.48877696598218,97.03265160544636
135,NCC,EQ,107.8,114.0,114.0,108.35,108.9,108.75,110.5,14043183,1551828618.15,53736,3310143,23.57,Slight positive,104.1892857142857,111.20017598710942,97.17839544146199
136,NCC,EQ,108.75,108.75,110.25,107.55,108.9,108.9,108.88,4173759,454445302.35,14850,1274144,30.53,Slight or No change,104.19642857142857,111.22772829652688,97.16512884633026
137,NCC,EQ,108.9,108.0,112.8,108.0,110.7,110.85,110.92,11417795,1266487777.2,35724,3576130,31.32,Positive,104.41785714285713,112.09665984829257,96.73905443742169
138,NCC,EQ,110.85,110.0,112.0,109.2,111.1,111.15,110.88,5185033,574901166.55,17333,1947334,37.56,Slight or No change,104.92142857142858,113.39407362983304,96.44878351302411
139,NCC,EQ,111.15,111.2,120.15,111.1,119.3,119.6,117.11,28070636,3287273996.2,93385,7728318,27.53,Bull run,106.04642857142858,117.54756325028046,94.5452938925767
140,NCC,EQ,119.6,120.3,122.9,119.6,120.15,120.5,121.09,16520742,2000460681.35,58011,3378168,20.45,Slight positive,107.33571428571429,120.95241379383648,93.7190147775921
141,NCC,EQ,120.5,119.5,124.0,117.25,123.35,123.05,121.18,12186337,1476792588.65,38685,2714830,22.28,Positive,108.77142857142857,124.47486838498568,93.06798875787146
142,NCC,EQ,123.05,123.95,126.0,120.1,121.45,120.9,123.17,7988798,983995050.75,27732,1419277,17.77,Negative,110.0,126.65666879614898,93.34333120385102
143,NCC,EQ,120.9,122.0,122.8,118.3,120.2,119.5,120.15,4885027,586916078.15,19097,1013994,20.76,Negative,111.68571428571428,126.91071541348587,96.46071315794269
144,NCC,EQ,119.5,119.0,119.3,116.65,118.55,118.35,117.93,5879085,693346612.95,22068,1727194,29.38,Slight negative,112.975,127.06109516236005,98.88890483763994
145,NCC,EQ,118.35,116.85,121.7,116.0,120.95,120.2,119.86,6511495,780445294.4,23771,774557,11.9,Positive,114.22142857142856,127.47352357478587,100.96933356807125
146,NCC,EQ,120.2,121.4,123.25,119.35,123.0,122.75,121.75,5289979,644075852.1,21853,911893,17.24,Positive,115.53928571428571,128.19746510527597,102.88110632329546
147,NCC,EQ,122.75,125.0,127.2,123.8,125.4,125.05,125.5,8103938,1017025568.8,33448,1586296,19.57,Positive,116.95357142857142,129.07256251920802,104.83458033793482
148,NCC,EQ,125.05,125.9,126.35,122.5,123.35,122.95,123.94,4504287,558254868.25,18632,1466905,32.57,Negative,118.03571428571429,129.30994825740103,106.76148031402755
149,NCC,EQ,122.95,122.2,123.15,119.75,120.55,120.65,121.26,3165018,383782829.65,12316,634631,20.05,Negative,118.88571428571429,128.86410852769205,108.90732004373652
150,NCC,EQ,120.65,119.6,122.45,118.15,119.15,118.8,120.52,3608337,434874355.15,13466,541928,15.02,Negative,119.59285714285714,127.76201651424586,111.42369777146843
151,NCC,EQ,118.8,119.95,120.9,115.2,119.05,119.05,117.87,5528008,651568552.15,21892,1046990,18.94,Slight or No change,120.17857142857143,126.64608959312065,113.71105326402221
152,NCC,EQ,119.05,120.9,121.4,118.6,119.65,119.5,119.97,3017489,362013650.2,12997,726972,24.09,Slight or No change,120.77499999999999,124.69374194883014,116.85625805116985
153,NCC,EQ,119.5,119.65,122.95,112.2,120.35,120.3,119.37,5204995,621318649.3,18371,766825,14.73,Slight positive,120.825,124.69674180639247,116.95325819360754
154,NCC,EQ,120.3,121.6,124.5,120.55,124.1,124.15,122.57,4028549,493795546.45,21413,959385,23.81,Among top gainers,121.08571428571429,125.33622168916575,116.83520688226282
155,NCC,EQ,124.15,123.95,130.6,122.9,129.85,129.1,127.05,8109652,1030362751.15,31000,1633844,20.15,Among top gainers,121.51785714285714,127.50432998943712,115.53138429627715
156,NCC,EQ,129.1,130.95,134.35,129.2,133.2,133.65,132.32,13869569,1835168838.75,53221,2878783,20.76,Among top gainers,122.42857142857143,131.22837162610236,113.6287712310405
157,NCC,EQ,133.65,133.45,133.7,130.2,132.55,132.45,131.95,5220520,688831608.55,19607,1155379,22.13,Slight negative,123.35357142857143,133.45372103033492,113.25342182680794
158,NCC,EQ,132.45,132.0,136.0,131.6,134.65,134.65,134.59,5123419,689583274.55,20279,965853,18.85,Positive,124.51785714285715,135.81983839482183,113.21587589089248
