index,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
93,NCC,EQ,2017-09-22,88.7,87.8,87.85,84.5,84.85,84.9,86.05,2433480,209400546.5,11988,1012076,41.59,9,2017,211347737.99999994,-4.284103720405863,Among top losers
94,NCC,EQ,2017-09-25,84.9,84.85,85.05,81.65,83.2,83.5,83.18,2556107,212615725.4,14207,911871,35.67,9,2017,215905837.9333333,-1.6489988221437102,Negative
95,NCC,EQ,2017-09-26,83.5,83.6,84.6,82.75,83.45,83.55,83.83,1338138,112170440.15,6803,379924,28.39,9,2017,112292080.5,0.059880239520948564,Slight or No change
96,NCC,EQ,2017-09-27,83.55,84.0,84.85,81.15,81.75,81.8,83.26,1913197,159290556.1,6966,845082,44.17,9,2017,159847609.35,-2.0945541591861128,Negative
97,NCC,EQ,2017-09-28,81.8,82.05,83.2,81.1,81.55,81.75,82.03,2670772,219089176.5,12095,1026461,38.43,9,2017,219893561.3333333,-0.061124694376524236,Slight or No change
99,NCC,EQ,2017-09-29,81.75,82.15,84.3,82.15,82.9,82.95,83.27,2868462,238852196.2,8665,1103111,38.46,9,2017,238464807.59999996,1.4678899082568808,Positive
100,NCC,EQ,2017-10-03,82.95,83.45,84.25,82.7,83.15,83.15,83.47,1865086,155680706.6,7162,744422,39.91,10,2017,155952274.36666664,0.24110910186860846,Slight or No change
101,NCC,EQ,2017-10-04,83.15,83.5,84.0,82.05,82.6,82.6,82.78,1746487,144578158.95,6705,618473,35.41,10,2017,145598799.56666666,-0.661455201443184,Slight negative
102,NCC,EQ,2017-10-05,82.6,82.7,83.65,82.45,82.75,82.85,82.98,1020379,84672092.15,4156,241770,23.69,10,2017,84759482.26666668,0.3026634382566673,Slight or No change
103,NCC,EQ,2017-10-06,82.85,84.0,87.55,83.5,85.85,85.85,86.19,7393638,637252053.2,23981,1902482,25.73,10,2017,634374140.4,3.6210018105009123,Among top gainers
104,NCC,EQ,2017-10-09,85.85,86.95,86.95,84.9,85.7,85.7,85.65,1305865,111848108.5,4882,245308,18.79,10,2017,113000851.33333334,-0.17472335468839972,Slight or No change
105,NCC,EQ,2017-10-10,85.7,86.55,90.5,86.5,88.8,88.95,89.06,9255101,824297380.3,41005,2160166,23.34,10,2017,820618955.3333334,3.7922987164527466,Among top gainers
106,NCC,EQ,2017-10-11,88.95,89.2,89.4,85.0,86.3,86.3,86.87,2296518,199500321.05,8331,704195,30.66,10,2017,202782539.40000004,-2.9792017987633534,Negative
107,NCC,EQ,2017-10-12,86.3,89.0,91.05,87.45,89.65,89.5,89.37,8189541,731924854.45,62565,3003154,36.67,10,2017,735830258.85,3.7079953650057895,Among top gainers
108,NCC,EQ,2017-10-13,89.5,89.8,91.95,89.5,90.5,90.5,90.85,5011169,455245194.5,16553,1985985,39.63,10,2017,454763586.75,1.1173184357541999,Positive
109,NCC,EQ,2017-10-16,90.5,90.95,91.8,88.65,89.5,89.2,90.04,2438588,219575559.5,9957,789267,32.37,10,2017,221058002.2,-1.436464088397782,Negative
110,NCC,EQ,2017-10-17,89.2,89.65,90.6,88.8,90.1,90.0,89.82,2297524,206362772.8,7984,907291,39.49,10,2017,206968620.3333333,0.8968609865470878,Slight positive
111,NCC,EQ,2017-10-18,90.0,89.2,95.75,89.1,94.55,94.3,93.75,11198605,1049825373.35,44450,2421957,21.63,10,2017,1042403482.0833333,4.77777777777777,Among top gainers
112,NCC,EQ,2017-10-19,94.3,94.8,94.8,92.7,93.1,93.25,93.9,1292762,121393897.65,6205,453450,35.08,10,2017,121885910.56666668,-1.1134676564156898,Negative
113,NCC,EQ,2017-10-23,93.25,93.3,96.25,93.3,94.6,94.65,95.01,4759874,452239525.1,18641,841954,17.69,10,2017,450918730.2666667,1.501340482573732,Positive
114,NCC,EQ,2017-10-24,94.65,95.1,102.35,95.05,101.75,101.5,100.3,26190671,2626849872.2,93903,4328877,16.53,10,2017,2609900365.1499996,7.237189646064435,Bull run
115,NCC,EQ,2017-10-25,101.5,104.0,109.0,102.0,107.4,107.9,106.32,21982787,2337170721.5,76720,6744061,30.68,10,2017,2351425449.433333,6.305418719211819,Among top gainers
116,NCC,EQ,2017-10-26,107.9,108.0,111.7,105.9,109.7,108.9,109.32,10931920,1195080191.1,45459,3649196,33.38,10,2017,1197409637.3333335,0.9267840593141896,Slight positive
117,NCC,EQ,2017-10-27,108.9,109.85,110.4,106.6,107.8,107.35,108.36,4967440,538289499.3,20338,1354859,27.27,10,2017,542444448.0,-1.423324150596883,Negative
118,NCC,EQ,2017-10-30,107.35,108.0,109.9,107.05,108.3,107.7,108.42,4264770,462398141.05,24445,1007687,23.63,10,2017,462869704.00000006,0.3260363297624691,Slight or No change
119,NCC,EQ,2017-10-31,107.7,108.15,111.65,107.3,109.2,108.85,109.08,5076499,553750242.7,21885,1057660,20.83,10,2017,556130465.4499999,1.067780872794799,Positive
